"Sector.x"	"Sector.y"	"overlap"	"n_s1"	"n_s2"	"p.val"	"adj.p.val"
"SCA5_880_B"	"Sca5_onPFAMrp55_C"	3	20	23	0.863154595405661	1
"SCA5_880_C"	"pySCA_1"	8	25	32	0.488082552065705	1
"SCA5_880_C"	"pySCA_2"	7	25	36	0.821578986837941	1
"SCA5_880_C"	"Sca5_840_A"	6	25	25	0.562747103530184	1
"SCA5_880_C"	"Sca5_840_B"	5	25	22	0.630638199771158	1
"SCA5_880_C"	"Sca5_840_C"	19	25	22	4.09484958370254e-13	4.09484958370254e-12
"SCA5_880_C"	"SCA5_880_A"	7	25	26	0.401520066124617	1
"SCA5_880_C"	"SCA5_880_B"	5	25	20	0.526840793149154	1
"SCA5_880_C"	"Sca5_onPFAMrp55_A"	3	25	21	0.922811377352994	1
"SCA5_880_C"	"Sca5_onPFAMrp55_B"	5	25	27	0.82853027536972	1
"SCA5_880_C"	"Sca5_onPFAMrp55_C"	10	25	23	0.0133626120030244	0.12026350802722
"Sca5_onPFAMrp55_A"	"pySCA_1"	8	21	32	0.254576127879879	1
"Sca5_onPFAMrp55_A"	"pySCA_2"	8	21	36	0.405246584724966	1
"Sca5_onPFAMrp55_A"	"Sca5_840_A"	4	21	25	0.786990332639276	1
"Sca5_onPFAMrp55_A"	"Sca5_840_B"	5	21	22	0.44200946225548	1
"Sca5_onPFAMrp55_A"	"Sca5_840_C"	3	21	22	0.86526595398703	1
"Sca5_onPFAMrp55_A"	"SCA5_880_A"	3	21	26	0.936638334184932	1
"Sca5_onPFAMrp55_A"	"SCA5_880_B"	11	21	20	7.48151374879673e-05	0.000748151374879673
"Sca5_onPFAMrp55_A"	"SCA5_880_C"	3	21	25	0.922811377352994	1
"Sca5_onPFAMrp55_A"	"Sca5_onPFAMrp55_B"	3	21	27	0.94828882558962	1
"Sca5_onPFAMrp55_A"	"Sca5_onPFAMrp55_C"	4	21	23	0.717470853291193	1
"Sca5_onPFAMrp55_B"	"pySCA_1"	7	27	32	0.775635407764131	1
"Sca5_onPFAMrp55_B"	"pySCA_2"	11	27	36	0.250344372061886	1
"Sca5_onPFAMrp55_B"	"Sca5_840_A"	7	27	25	0.450684360247055	1
"Sca5_onPFAMrp55_B"	"Sca5_840_B"	10	27	22	0.0175236045972215	0.157712441374993
"Sca5_onPFAMrp55_B"	"Sca5_840_C"	4	27	22	0.872696102289435	1
"Sca5_onPFAMrp55_B"	"SCA5_880_A"	14	27	26	0.000269558970384944	0.00269558970384944
"Sca5_onPFAMrp55_B"	"SCA5_880_B"	5	27	20	0.611390495697169	1
"Sca5_onPFAMrp55_B"	"SCA5_880_C"	5	27	25	0.82853027536972	1
"Sca5_onPFAMrp55_B"	"Sca5_onPFAMrp55_A"	3	27	21	0.94828882558962	1
"Sca5_onPFAMrp55_B"	"Sca5_onPFAMrp55_C"	6	27	23	0.554982898492513	1
"Sca5_onPFAMrp55_C"	"pySCA_1"	6	23	32	0.757084337033198	1
"Sca5_onPFAMrp55_C"	"pySCA_2"	8	23	36	0.540886021172677	1
"Sca5_onPFAMrp55_C"	"Sca5_840_A"	5	23	25	0.677850412441139	1
"Sca5_onPFAMrp55_C"	"Sca5_840_B"	6	23	22	0.317662277439736	1
"Sca5_onPFAMrp55_C"	"Sca5_840_C"	11	23	22	0.000756573249544156	0.00756573249544156
"Sca5_onPFAMrp55_C"	"SCA5_880_A"	6	23	26	0.508347053782086	1
"Sca5_onPFAMrp55_C"	"SCA5_880_B"	3	23	20	0.863154595405661	1
"Sca5_onPFAMrp55_C"	"SCA5_880_C"	10	23	25	0.0133626120030244	0.12026350802722
"Sca5_onPFAMrp55_C"	"Sca5_onPFAMrp55_A"	4	23	21	0.717470853291192	1
"Sca5_onPFAMrp55_C"	"Sca5_onPFAMrp55_B"	6	23	27	0.554982898492513	1
